normalized_name,description,category,price_usd,cash_price_usd,online_price_usd,pdf_price_usd,excel_codes,pdf_codes,sources
addidas spray,Addidas Spray,005 - COSMETICS,3.15,3.0,3.15,,ADDSPRY,,excel
allsorts sweets,Allsorts sweets,012 - SNACK,1.05,1.0,1.05,,ALL,,excel
aloha dishwasher,Aloha Dishwasher,004 - CLEANING PRODUCTS,1.575,1.5,1.575,,ALOD,,excel
aloha washing pwd 1kg,Aloha Washing Pwd 1kg,004 - CLEANING PRODUCTS,2.1,2.0,2.1,,ALO,,excel
aloha washing pwd 2kg,Aloha Washing Pwd 2kg,004 - CLEANING PRODUCTS,4.2,4.0,4.2,,ALH,,excel
aloha washing pwdr 500g,Aloha Washing Pwdr 500g,004 - CLEANING PRODUCTS,1.05,1.0,1.05,,ALOH,,excel
amasip,AmaSip,002 - BEVERAGES,,,0.0,,AMAS,,excel
amazon cookies,Amazon Cookies,012 - SNACK,0.525,0.5,0.525,,AMAZ,,excel
angel care tissue,Angel Care Tissue,019 - TOILETRIES,8.4,8.0,8.4,,ANG,,excel
apples box,Apples - Box,,32.0,,,32.0,,FAPC03,pdf
apples assorted hds,Apples assorted hds,,0.25,,,0.25,,FACP04,pdf
aquaclear 500ml,Aquaclear 500ml,002 - BEVERAGES,0.34650000000000003,0.33,0.34650000000000003,,AQU,,excel
aquaclear 750ml,Aquaclear 750ml,002 - BEVERAGES,0.525,0.5,0.525,,AQUA,,excel
aquaclear case,Aquaclear case,002 - BEVERAGES,4.2,4.0,4.2,,AQA,,excel
aquafresh 100ml,Aquafresh - 100ml,019 - TOILETRIES,1.05,1.0,1.05,,AQFRSH,,excel
arpic cleaner 750ml,Arpic Cleaner 750ml,004 - CLEANING PRODUCTS,,,0.0,,ARP,,excel
ashna rice 2kg,Ashna Rice 2kg,016 - STARCH,2.1,2.0,2.1,,ASHN,,excel
axe perfumer,Axe Perfumer,005 - COSMETICS,2.1,2.0,2.1,,AXP,,excel
baby and me cream,Baby & Me Cream,001 - BABY,1.05,1.0,1.05,,BABC,,excel
baby crez 500ml,Baby Crez 500ml,005 - COSMETICS,1.8900000000000001,1.8,1.8900000000000001,,BAB,,excel
baby line 500ml,Baby line 500ml,005 - COSMETICS,,,0.0,,BABL,,excel
baby soft 18s,Baby Soft 18s,019 - TOILETRIES,9.975,9.5,9.975,,BABYS,,excel
baked beand montys,Baked Beand Montys,002 - BEVERAGES,1.05,1.0,1.05,,MONTY,,excel
ballyhouse lime crush 2l,Ballyhouse lime/crush 2L,002 - BEVERAGES,2.625,2.5,2.625,,BAL,,excel
ballyhouse ras blkbery,Ballyhouse Ras/Blkbery,002 - BEVERAGES,2.1,2.0,2.1,,BALY,,excel
bananas kg,Bananas - kg,,1.0,,,1.0,,BN102,pdf
bananas box,Bananas Box,,18.0,,,18.0,,FBAN01,pdf
baobab powdered 500g,BAOBAB (Powdered) - 500g,,3.5,,,3.5,,BOB,pdf
baobab 500g,Baobab - 500g,,1.0,,,1.0,,BOAB0001,pdf
baobab juice 500ml,Baobab Juice -500ml,002 - BEVERAGES,,,0.0,,BAOJ01,,excel
basmattii 5kg,Basmattii 5kg,016 - STARCH,10.5,10.0,10.5,,BAS,,excel
beans kg,Beans kg,013 - SOUPS,,,0.0,,BEAN,,excel
beef kg,Beef Kg,013 - SOUPS,,,0.0,,BEEF,,excel
beetroot bun,Beetroot - (bun),,1.0,,,1.0,,VBER01,pdf
bella macaroni 3kg,Bella Macaroni 3kg,016 - STARCH,4.2,4.0,4.2,,BEL,,excel
